,Case Number,Date,Year,Type,Country,Activity,Injury,Fatal,Time,Species,Shark Sizes
332,2015.11.20,20-Nov-15,2015,Unprovoked,ECUADOR,Other activities,Lacerations to left calf,N,10h15,Galapagos Shark,SMALL SHARK
334,2014.05.14,14-May-14,2014,Unprovoked,AUSTRALIA,Surfing,"No injury, but surfboard severely damaged",N,09h30,White Shark,BIG SHARK
338,2014.05.06,06-May-14,2014,Unprovoked,USA,Swimming,Lacerations to left foot,N,15h00,BIG SHARK,BIG SHARK
339,2014.05.01,01-May-14,2014,Unprovoked,USA,Surfing,Laceration to right hand and cuts on fingertips,N,15h00,BIG SHARK,BIG SHARK
343,2014.04.12.R,Reported 12-Apr-2014,2014,Boat,SOUTH AFRICA,Other activities,"No injury to occupants, shark bit pontoon",N,,White Shark,BIG SHARK
344,2014.04.12,12-Apr-14,2014,Provoked,SOUTH AFRICA,Other activities,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,N,Morning,Raggedtooth Shark,Raggedtooth Shark
347,2014.04.03,03-Apr-14,2014,Unprovoked,AUSTRALIA,Swimming,FATAL,Y,08h20,White Shark,BIG SHARK
349,2014.03.22.b,22-Mar-14,2014,Unprovoked,SOUTH AFRICA,Swimming,FATAL,Y,15h00,BIG SHARK,BIG SHARK
350,2014.03.22.a,22-Mar-14,2014,Unprovoked,USA,Surfing,Lacerations to left forearm,N,,BIG SHARK,BIG SHARK
356,2014.03.12,12-Mar-14,2014,Unprovoked,AUSTRALIA,Swimming,Minor lacerations to foot,N,18h00,Wobbegong Shark,SMALL SHARK
357,2014.03.02,02-Mar-14,2014,Unprovoked,USA,Surfing,Lacerations to toes,N,,Blacktip Shark,SMALL SHARK
358,2014.02.20,20-Feb-14,2014,Unprovoked,FRENCH POLYNESIA,Surfing,Lacerations to lower leg,N,16h00,Blacktip Shark,SMALL SHARK
366,2014.00.00,2014,2014,Boat,NEW ZEALAND,Other activities,"No injury to occupants, shark nudged and bit boat",N,,White Shark,BIG SHARK
367,2013.12.25,25-Dec-13,2013,Unprovoked,NEW CALEDONIA,Other activities,Leg bitten,N,11h00,Bull Shark,SMALL SHARK
368,2013.12.16,16-Dec-13,2013,Unprovoked,SOUTH AFRICA,Surfing,Injuries to left thigh,N,08h45,White Shark,BIG SHARK
370,2013.12.11,11-Dec-13,2013,Unprovoked,USA,Other activities,Lacerations to right hand & knee,N,08h00,Tiger Shark,MIDDLE SHARK
371,2013.12.10,10-Dec-13,2013,Unprovoked,USA,Surfing,Right foot bitten,N,14h30,BIG SHARK,BIG SHARK
372,2013.12.05,05-Dec-13,2013,Unprovoked,AUSTRALIA,Surfing,"Puncture wounds to hand, laceration to leg",N,18h15,Wobbegong Shark,SMALL SHARK
374,2013.11.30,30-Nov-13,2013,Unprovoked,AUSTRALIA,Other activities,FATAL,Y,14h00,Tiger Shark,MIDDLE SHARK
376,2013.11.23.a,23-Nov-13,2013,Unprovoked,AUSTRALIA,Surfing,FATAL,Y,09h00,White Shark,BIG SHARK
377,2013.11.22,22-Nov-13,2013,Unprovoked,USA,Surfing,"No injury, board bitten",N,10h30,White Shark,BIG SHARK
378,2013.11.12,12-Nov-13,2013,Unprovoked,AUSTRALIA,Surfing,"No injury, board bumped by shark",N,15h00,White Shark,BIG SHARK
382,2013.10.31,31-Oct-13,2013,Unprovoked,USA,Other activities,Severe bite to right calf & anklel,N,15h19,Tiger Shark,MIDDLE SHARK
383,2013.10.28,28-Oct-13,2013,Unprovoked,AUSTRALIA,Other activities,Lacerations to right arm,N,Afternoon,Blacktip Shark,SMALL SHARK
384,2013.10.26.b,26-Oct-13,2013,Unprovoked,REUNION,Other activities,Right leg severed,N,16h30,Bull Shark,SMALL SHARK
385,2013.10.26.a,26-Oct-13,2013,Unprovoked,AUSTRALIA,Other activities,"No injury, swim fin shredded",N,10h55,White Shark,BIG SHARK
386,2013.10.24,24-Oct-13,2013,Unprovoked,AUSTRALIA,Surfing,Injuries to right foot,N,18h15,Wobbegong Shark,SMALL SHARK
387,2013.10.23,23-Oct-13,2013,Unprovoked,USA,Other activities,"3"" laceration to left hip",N,15h55,White Shark,BIG SHARK
388,2013.10.20,20-Oct-13,2013,Unprovoked,USA,Surfing,"No injury, shark bit surfboard",N,11h00,Tiger Shark,MIDDLE SHARK
389,2013.10.19,19-Oct-13,2013,Unprovoked,USA,Other activities,Bitten on left calf & foot,N,Late afternoon,Nurse Shark,MIDDLE SHARK
390,2013.10.11,11-Oct-13,2013,Unprovoked,SOUTH AFRICA,Swimming,FATAL,Y,11h30,White Shark,BIG SHARK
391,2013.10.08,08-Oct-13,2013,Unprovoked,AUSTRALIA,Other activities,"Injuries to torso, head and face",N,10h30,White Shark,BIG SHARK
392,2013.10.05,06-Oct-13,2013,Unprovoked,USA,Surfing,Laceration to thigh,N,08h45,White Shark,BIG SHARK
393,2013.10.05,10-Oct-13,2013,Unprovoked,USA,Other activities,Lacerations to  right forearm,N,15h30,Bull Shark,SMALL SHARK
399,2013.09.14, 14-Sep-2013,2013,Unprovoked,USA,Swimming,Lacerations to right foot,N,15h30,Bull Shark,SMALL SHARK
400,2013.09.12, 12-Sep-2013,2013,Unprovoked,USA,Surfing,Heel bitten,N,13h00,BIG SHARK,BIG SHARK
402,2013.09.07.b, 07-Sep-2013,2013,Provoked,USA,Surfing,Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,N,16h00,BIG SHARK,BIG SHARK
403,2013.09.07.a, 07-Sep-2013,2013,Unprovoked,USA,Other activities,"Minor injury, shin bitten",N,16h00,BIG SHARK,BIG SHARK
405,2013.09.01.c, 01-Sep-2013,2013,Provoked,USA,Other activities,Arm bitten by captive shark PROVOKED INCIDENT,N,,Nurse Shark,MIDDLE SHARK
407,2013.09.01.a, 01-Sep-2013,2013,Unprovoked,USA,Other activities,Lacerations to left calf,N,12h00,BIG SHARK,BIG SHARK
408,2013.08.31.b,31-Aug-13,2013,Unprovoked,BAHAMAS,Other activities,Lower left leg bitten,N,,Blacktip Shark,SMALL SHARK
411,2013.08.26,26-Aug-13,2013,Provoked,FRANCE,Other activities,Laceration to right arm from hooked shark  PROVOKED INCIDENT,N,20h30,Mako Shark,SMALL SHARK
415,2013.08.17,17-Aug-13,2013,Unprovoked,USA,Surfing,"No injury, shark bumped surfboard",N,12h40,White Shark,BIG SHARK
416,2013.08.14, 14-Aug-2013,2013,Unprovoked,USA,Other activities,FATAL,Y,16h30,Tiger Shark,MIDDLE SHARK
418,2013.08.11,11-Aug-13,2013,Unprovoked,USA,Surfing,"No injury, shark became entangled in his surfboard leash",N,17h30,Bull Shark,SMALL SHARK
419,2013.08.08.R,Reported 08-Aug-2013,2013,Unprovoked,SOUTH AFRICA,Other activities,"Unknown, but survived",N,,Blacktip Shark,SMALL SHARK
420,2013.08.05, 05-Aug-2013,2013,Unprovoked,USA,Other activities,Minor injury to foot & shin,N,15h00,Bull Shark,SMALL SHARK
423,2013.07.29.c,28-Jul-13,2013,Unprovoked,BAHAMAS,Other activities,Leg bitten,N,16h05,BIG SHARK,BIG SHARK
425,2013.07.29.a,  29-Jul-2013,2013,Unprovoked,USA,Surfing,Lower leg bitten,N,14h10,Tiger Shark,MIDDLE SHARK
426,2013.07.28.b,28-Jul-13,2013,Unprovoked,BAHAMAS,Other activities,Bitten on left hand,N,16h45,Nurse Shark,MIDDLE SHARK
438,2013.06.25.c,25-Jun-13,2013,Unprovoked,USA,Other activities,"No injury, kayak scratched",N,15h30,White Shark,BIG SHARK
439,2013.06.25.b,25-Jun-13,2013,Unprovoked,USA,Swimming,Lacerations to left foot,N,,Bull Shark,SMALL SHARK
440,2013.06.25.a,25-Jun-13,2013,Unprovoked,USA,Swimming,"Bitten on lower right leg, reported as a minor injury",N,12h45,BIG SHARK,BIG SHARK
441,2013.06.18,18-Jun-13,2013,Unprovoked,USA,Swimming,Right thigh & calf bitten,N,12h50,Tiger Shark,MIDDLE SHARK
445,2013.06.14.R,Reported 14-Jun-2013,2013,Unprovoked,USA,Other activities,Puncture marks to hand,N,Afternoon,BIG SHARK,BIG SHARK
446,2013.06.06.b,06-Jun-13,2013,Provoked,USA,Other activities,Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT,N,,Lemon Shark,MIDDLE SHARK
447,2013.06.06.a,06-Jun-13,2013,Unprovoked,AUSTRALIA,Surfing,"No injury, board damaged",N,16h00,BIG SHARK,BIG SHARK
448,2013.05.27.b,27-May-13,2013,Unprovoked,USA,Other activities,Lacerations to right hand,N,,Galapagos Shark,SMALL SHARK
452,2013.05.14,14-May-14,2013,Unprovoked,ECUADOR,Surfing,Superficial injury to left calf,N,12h00,Galapagos Shark,SMALL SHARK
454,2013.05.08.a,08-May-13,2013,Unprovoked,REUNION,Other activities,FATAL,Y,08h20,Bull Shark,SMALL SHARK
455,2013.05.04.a,04-May-13,2013,Unprovoked,USA,Surfing,Lacerations to left foot and ankle,N,11h15,SMALL SHARK,SMALL SHARK
456,2013.04.28,28-Apr-13,2013,Provoked,AUSTRALIA,Other activities,Foot bitten by landed shark PROVOKED INCIDENT,N,,Wobbegong Shark,SMALL SHARK
457,2013.04.24,24-Apr-13,2013,Unprovoked,MEXICO,Swimming,Avulsion injury  to lower right leg,N,13h40,Tiger Shark,MIDDLE SHARK
458,2013.04.21,21-Apr-13,2013,Unprovoked,AUSTRALIA,Other activities,Puncture wounds and lacerations to both legs,N,14h00,Grey Shark,SMALL SHARK
459,2013.04.17,17-Apr-13,2013,Unprovoked,USA,Surfing,Lacerations to right foot,N,10h30,BIG SHARK,BIG SHARK
460,2013.04.14,14-Apr-13,2013,Unprovoked,SOUTH AFRICA,Other activities,"""Light scratch on hand/wrist area""",N,,Blue Shark,MIDDLE SHARK
461,2013.04.13.b,13-Apr-13,2013,Unprovoked,USA,Surfing,Minor lacerations to right hand,N,13h30,Bull Shark,SMALL SHARK
463,2013.04.10,10-Apr-13,2013,Unprovoked,FRENCH POLYNESIA,Other activities,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",N,12h00,Blacktip Shark,SMALL SHARK
466,2013.04.02.a,02-Apr-13,2013,Unprovoked,USA,Surfing,Right thigh bitten,N,08h30,BIG SHARK,BIG SHARK
469,2013.03.21.R,Reported 21-Mar-2013,2013,Unprovoked,BELIZE,Other activities,Toe injured,N,,Nurse Shark,MIDDLE SHARK
471,2013.03.16.b,16-Mar-13,2013,Provoked,SOUTH AFRICA,Other activities,Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,N,09h00,Raggedtooth Shark,Raggedtooth Shark
473,2013.03.12,12-Mar-13,2013,Unprovoked,JAMAICA,Other activities,FATAL,Y,09h00,Tiger Shark,MIDDLE SHARK
474,2013.03.10.b,10-Mar-13,2013,Unprovoked,AUSTRALIA,Other activities,Laceration to left hand,N,09h00,Bronze Shark,MIDDLE SHARK
475,2013.03.10.a,10-Mar-13,2013,Unprovoked,PHILIPPINES,Swimming,Minor leg injuries,N,,SMALL SHARK,SMALL SHARK
477,2013.02.27,27-Feb-13,2013,Unprovoked,NEW ZEALAND,Swimming,FATAL,Y,13h24,White Shark,BIG SHARK
480,2013.02.10,10-Feb-13,2013,Unprovoked,USA,Surfing,Lacerations to right hand,N,14h00,Blacktip Shark,SMALL SHARK
481,2013.02.09,09-Feb-13,2013,Unprovoked,FRENCH POLYNESIA,Other activities,Lacerations to right arm & thigh,N,09h00 - 09h30,Lemon Shark,MIDDLE SHARK
483,2013.01.26,26-Jan-13,2013,Boat,AUSTRALIA,Other activities,"No injury to occupants, shark bit propeller",N,,White Shark,BIG SHARK
486,2013.01.16,16-Jan-13,2013,Unprovoked,USA,Surfing,Left forearm bitten ,N,16h30,Tiger Shark,MIDDLE SHARK
487,2013.01.13,13-Jan-13,2013,Unprovoked,NEW ZEALAND,Other activities,Minor cut on finger,N,,Bronze Shark,MIDDLE SHARK
491,2012.12.28,28-Dec-12,2012,Unprovoked,AUSTRALIA,Other activities,Lacerations to thigh and hand,N,10h45,Bull Shark,SMALL SHARK
492,2012.12.25,25-Dec-12,2012,Unprovoked,SOUTH AFRICA,Swimming,FATAL,Y,,Tiger Shark,MIDDLE SHARK
493,2012.12.19,19-Dec-12,2012,Unprovoked,AUSTRALIA,Surfing,No injury,N,830,Tiger Shark,MIDDLE SHARK
494,2012.12.05,05-Dec-12,2012,Unprovoked,USA,Surfing,Lacerations to left foot,N,13h20,BIG SHARK,BIG SHARK
495,2012.12.02,02-Dec-12,2012,Unprovoked,AUSTRALIA,Other activities,Minor puncture wounds to knee,N,16h45,Tiger Shark,MIDDLE SHARK
497,2012.11.30,30-Nov-12,2012,Unprovoked,USA,Other activities,Lacerations to thigh & lower left leg,N,09h40,Tiger Shark,MIDDLE SHARK
500,2012.11.19,19-Nov-12,2012,Unprovoked,USA,Surfing,Minor lacerations to left foot & heel,N,17h30,BIG SHARK,BIG SHARK
501,2012.11.04.b,04-Nov-12,2012,Unprovoked,USA,Other activities,Right lower leg and foot bitten,N,08h30,Tiger Shark,MIDDLE SHARK
502,2012.11.04.a,04-Nov-12,2012,Unprovoked,USA,Surfing,"No injury, surfboard bitten",N,08h10,Tiger Shark,MIDDLE SHARK
503,2012.10.30,30-Oct-12,2012,Unprovoked,USA,Surfing,Multiple lacerations to torso,N,12h00,White Shark,BIG SHARK
504,2012.10.27,27-Oct-12,2012,Unprovoked,USA,Swimming,"Puncture wounds to thigh, defense wounds  to hand",N,15h56,Tiger Shark,MIDDLE SHARK
505,2012.10.23,23-Oct-12,2012,Unprovoked,USA,Surfing,FATAL,Y,11h00,White Shark,BIG SHARK
508,2012.10.18.a,18-Oct-12,2012,Unprovoked,USA,Other activities,"No injury, board bitten",N,07h30,BIG SHARK,BIG SHARK
513,2012.09.25,25-Sep-12,2012,Unprovoked,USA,Surfing,Lacerations to left forearm,N,16h30,BIG SHARK,BIG SHARK
514,2012.09.24,24-Sep-12,2012,Unprovoked,USA,Surfing,Left foot bitten,N,Afternoon,BIG SHARK,BIG SHARK
516,2012.09.10,10-Sep-12,2012,Unprovoked,TONGA,Swimming,Injuries to thighs & buttocks,N,,Bull Shark,SMALL SHARK
523,2012.09.02.b,02-Sep-12,2012,Unprovoked,USA,Other activities,Puncture wounds to calf and hand,N,18h30,BIG SHARK,BIG SHARK
524,2012.09.02.b,02-Sep-12,2012,Provoked,USA,Other activities,Minor laceration to hand  PROVOKED INCIDENT,N,12h00,Tiger Shark,MIDDLE SHARK
525,2012.09.02.a,02-Sep-12,2012,Unprovoked,USA,Swimming,Puncture wound to left ankle,N,16h30,BIG SHARK,BIG SHARK
526,2012.08.31,31-Aug-12,2012,Provoked,SCOTLAND,Other activities,"No injury, shoe bitten by hooked and landed shark PROVOKED INCIDENT",N,,Porbeagle Shark,Porbeagle Shark
531,2012.08.09,08-Aug-12,2012,Unprovoked,USA,Other activities,Lacerations to little finger of left hand,N,1600,Lemon Shark,MIDDLE SHARK
532,2012.08.05,06-Aug-12,2012,Unprovoked,REUNION,Surfing,Right hand and foot severed,N,17h17,Bull Shark,SMALL SHARK
533,2012.08.04,04-Aug-12,2012,Unprovoked,FRENCH POLYNESIA,Other activities,Shoulder bitten,N,,Lemon Shark,MIDDLE SHARK
535,2012.07.31.a,31-Jul-12,2012,Unprovoked,AUSTRALIA,Surfing,Lacerations to torso & arm,N,14h40,White Shark,BIG SHARK
537,2012.07.30.a,30-Jul-12,2012,Unprovoked,USA,Surfing,Lacerations to both legs below the knees,N,15h30,White Shark,BIG SHARK
542,2012.07.14,14-Jul-12,2012,Unprovoked,AUSTRALIA,Surfing,FATAL,Y,09h05,White Shark,BIG SHARK
546,2012.07.07.a,07-Jul-12,2012,Unprovoked,USA,Other activities,"No injury, kayak bitten",N,08h30,BIG SHARK,BIG SHARK
547,2012.07.06,06-Jul-12,2012,Unprovoked,SOUTH AFRICA,Surfing,Lacerattions to left thigh & knee,N,16h30,BIG SHARK,BIG SHARK
549,2012.06.26.c,26-Jun-12,2012,Unprovoked,USA,Swimming,Thigh bitten,N,19h00,Bull Shark,SMALL SHARK
551,2012.06.26.a,26-Jun-12,2012,Unprovoked,USA,Other activities,Laceration to left calf,N,09h45,SMALL SHARK,SMALL SHARK
554,2012.06.20,20-Jun-12,2012,Unprovoked,AUSTRALIA,Surfing,"No injury, ski severely damaged",N,07h15,MIDDLE SHARK,MIDDLE SHARK
557,2012.06.15,15-Jun-12,2012,Provoked,USA,Other activities,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,N,14h20,Nurse Shark,MIDDLE SHARK
558,2012.06.14.d,14-Jun-12,2012,Unprovoked,USA,Swimming,Foot & hand bitten,N,Afternoon,Blacktip Shark,SMALL SHARK
560,2012.06.14.b,14-Jun-12,2012,Unprovoked,USA,Swimming,Calf bitten,N,Afternoon,Blacktip Shark,SMALL SHARK
561,2012.06.14.a,14-Jun-12,2012,Unprovoked,USA,Swimming,Laceration to right foot,N,13h20,Blacktip Shark,SMALL SHARK
563,2012.06.10,10-Jun-12,2012,Provoked,ITALY,Other activities,Lower left leg injured PROVOKED ACCIDENT,N,Morning,Blue Shark,MIDDLE SHARK
564,2012.06.03,03-Jun-12,2012,Unprovoked,AUSTRALIA,Surfing,"No injury, ski bitten",N,14h30,White Shark,BIG SHARK
568,2012.05.29,29-May-12,2012,Unprovoked,MEXICO,Other activities,Left hand severed,N,09h00,Bull Shark,SMALL SHARK
569,2012.05.23,23-May-12,2012,Unprovoked,USA,Surfing,Lacerations to foot,N,15h00,BIG SHARK,BIG SHARK
570,2012.05.20,20-May-12,2012,Unprovoked,USA,Other activities,"No injury, teethmarks in kayak",N,Morning,Tiger Shark,MIDDLE SHARK
572,2012.05.12,12-May-12,2012,Unprovoked,USA,Other activities,"No injury, kayaker fell in the water when kayak bitten by a shark",N,14h30,White Shark,BIG SHARK
574,2012.05.06,06-May-12,2012,Unprovoked,USA,Other activities,"No injury, shark bit paddleboard",N,07h20,White Shark,BIG SHARK
575,2012.04.19.b,19-Apr-12,2012,Unprovoked,USA,Surfing,Lacerations to hand,N,19h28,BIG SHARK,BIG SHARK
576,2012.04.19.a,19-Apr-12,2012,Unprovoked,SOUTH AFRICA,Other activities,FATAL,Y,12h30,White Shark,BIG SHARK
577,2012.04.11,11-Apr-12,2012,Unprovoked,AUSTRALIA,Other activities,Minor wound to his thigh when shark bit kayak,N,,White Shark,BIG SHARK
578,2012.04.03,03-Apr-12,2012,Unprovoked,USA,Surfing,Lacerations to left foot,N,12h38,Tiger Shark,MIDDLE SHARK
579,2012.04.00,Apr-13,2012,Unprovoked,USA,Other activities,Right shin bitten,N,,SMALL SHARK,SMALL SHARK
580,2012.03.31,31-Mar-12,2012,Unprovoked,AUSTRALIA,Other activities,FATAL,Y,09h30,White Shark,BIG SHARK
582,2012.03.22,22-Mar-12,2012,Boat,AUSTRALIA,Other activities,"No injury to occupants. Shark bit propelle, rope & crayfish float",N,05h50,White Shark,BIG SHARK
583,2012.03.20,20-Mar-12,2012,Unprovoked,AUSTRALIA,Surfing,Lacerations to left calf,N,17h00,Bull Shark,SMALL SHARK
584,2012.03.15,15-Mar-12,2012,Unprovoked,USA,Surfing,Left forearm bitten,N,15h50,Bull Shark,SMALL SHARK
585,2012.03.14.b,14-Mar-12,2012,Unprovoked,USA,Surfing,Bitten on ankle,N,16h00,BIG SHARK,BIG SHARK
586,2012.03.14.a,14-Mar-12,2012,Unprovoked,USA,Surfing,Bitten on calf,N,16h05,BIG SHARK,BIG SHARK
588,2012.03.06.a,06-Mar-12,2012,Provoked,AUSTRALIA,Other activities,Superficial lacerations to right side of face PROVOKED ACCIDENT,N,11h30,Nurse Shark,MIDDLE SHARK
590,2012.03.04,04-Mar-12,2012,Unprovoked,USA,Surfing,Lacerations to left calf,N,13h00,BIG SHARK,BIG SHARK
594,2012.02.25,25-Feb-12,2012,Unprovoked,AUSTRALIA,Other activities,Laceration to left foot,N,16h00,Grey Shark,SMALL SHARK
595,2012.02.20,20-Feb-12,2012,Boat,SOUTH AFRICA,Other activities,"No injury to occupants, boat damaged",N,,White Shark,BIG SHARK
597,2012.01.22.R,Reported 22-Jan-2012,2012,Unprovoked,BAHAMAS,Other activities,"No injury, shark grabbed his camera",N,,Tiger Shark,MIDDLE SHARK
598,2012.01.27,27-Jan-12,2012,Unprovoked,USA,Other activities,"No injury, shark bit swim fin",N,11h05,BIG SHARK,BIG SHARK
599,2012.01.19,19-Jan-12,2012,Unprovoked,AUSTRALIA,Other activities,Lacerations to right forearm,N,Afternoon,Tiger Shark,MIDDLE SHARK
600,2012.01.18.b,18-Jan-12,2012,Provoked,TAIWAN,Other activities,Bitten on left thigh     PROVOKED ACCIDENT,N,,Blue Shark,MIDDLE SHARK
601,2012.01.18.a,18-Jan-12,2012,Unprovoked,AUSTRALIA,Surfing,Lacerations to thigh,N,16h45,White Shark,BIG SHARK
602,2012.01.15,15-Jan-12,2012,Unprovoked,SOUTH AFRICA,Swimming,FATAL,Y,15h40,Bull Shark,SMALL SHARK
603,2012.01.13,13-Jan-12,2012,Unprovoked,USA,Surfing,"No injury, surfboard damaged",N,,White Shark,BIG SHARK
604,2012.01.03,03-Jan-12,2012,Unprovoked,AUSTRALIA,Surfing,Right forearm and wrist injured,N,20h00,BIG SHARK,BIG SHARK
605,2012.01.02,02-Jan-12,2012,Unprovoked,AUSTRALIA,Other activities,"No injury, punctures to swim fin",N,09h00,Tiger Shark,MIDDLE SHARK
610,2011.12.21.b,21-Dec-11,2011,Provoked,USA,Other activities,"No injury, after kayak collided with the shark, it bit the rudder  PROVOKED INCIDENT",N,,BIG SHARK,BIG SHARK
612,2011.12.11,11-Dec-11,2011,Unprovoked,AUSTRALIA,Surfing,5 puncture wounds to thigh,N,05h45,White Shark,BIG SHARK
614,2011.12.07.a,07-Dec-11,2011,Unprovoked,AUSTRALIA,Surfing,Minor injuries to left leg ,N,,Wobbegong Shark,SMALL SHARK
619,2011.11.28,28-Nov-11,2011,Unprovoked,AUSTRALIA,Swimming,Puncture marks to foot,N,Afternoon,Wobbegong Shark,SMALL SHARK
620,2011.11.22,22-Nov-11,2011,Unprovoked,USA,Other activities,"No injury, kayak bitten",N,,White Shark,BIG SHARK
624,2011.10.29.,  29-Oct-2011,2011,Unprovoked,USA,Surfing,"Lacerations to right wrist, foream & neck",N,,White Shark,BIG SHARK
625,2011.10.28.R,Reported 28-Oct-2011,2011,Unprovoked,SCOTLAND,Surfing,"No injury, shark bumped leg & board. ",N,,BIG SHARK,BIG SHARK
626,2011.10.28.,  29-Oct-2011,2011,Provoked,SOUTH AFRICA,Other activities,Arm bitten by captive shark PROVOKED INCIDENT,N,,Raggedtooth Shark,Raggedtooth Shark
627,2011.10.22,22-Oct-11,2011,Unprovoked,AUSTRALIA,Other activities,FATAL,Y,13h25,White Shark,BIG SHARK
628,2011.10.20,20-Oct-11,2011,Unprovoked,USA,Surfing,"No injury, shark bit surfboard",N,,White Shark,BIG SHARK
630,2011.10.11,11-Oct-11,2011,Unprovoked,USA,Surfing,Foot bitten,N,,BIG SHARK,BIG SHARK
631,2011.10.10,10-Oct-11,2011,Unprovoked,USA,Surfing,No injury,N,,BIG SHARK,BIG SHARK
638,2011.09.28.a,28-Sep-11,2011,Unprovoked,SOUTH AFRICA,Swimming,"Right leg severed, left leg lacerated",N,12h25,White Shark,BIG SHARK
639,2011.09.24.b,24-Sep-11,2011,Unprovoked,USA,Other activities,Laceration to left thigh,N,15h00,Bull Shark,SMALL SHARK
644,2011.09.16,16-Sep-11,2011,Unprovoked,USA,Surfing,Lacerations to arm,N,11h00,BIG SHARK,BIG SHARK
646,2011.09.11.a,11-Sep-11,2011,Unprovoked,PAPUA NEW GUINEA,Surfing,Lacerations to right leg,N,Afternoon,Tiger Shark,MIDDLE SHARK
648,2011.09.04.a,04-Sep-11,2011,Unprovoked,AUSTRALIA,Other activities,FATAL,Y,13h26,White Shark,BIG SHARK
649,2011.09.02,02-Sep-11,2011,Unprovoked,USA,Surfing,Lacerations to ankle & foot,N,11h00,BIG SHARK,BIG SHARK
650,2011.08.31,31-Aug-11,2011,Unprovoked,USA,Surfing,Lacerations to lower leg,N,11h00,BIG SHARK,BIG SHARK
656,2011.08.23,23-Aug-11,2011,Unprovoked,SOUTH AFRICA,Surfing,FATAL,Y,09h11,White Shark,BIG SHARK
658,2011.08.17.c.,17-Aug-11,2011,Unprovoked,USA,Other activities,Lacerations to foot,N,17h00,Tiger Shark,MIDDLE SHARK
660,2011.08.17.a,17-Aug-11,2011,Unprovoked,RUSSIA,Swimming,Hands severed,N,Evening,MIDDLE SHARK,MIDDLE SHARK
661,2011.08.16.c,16-Aug-11,2011,Unprovoked,FRENCH POLYNESIA,Surfing,"No injury, board bitten",N,15h30,Grey Shark,SMALL SHARK
663,2011.08.16.a,16-Aug-11,2011,Unprovoked,SEYCHELLES,Swimming,FATAL,Y,16h30,Bull Shark,SMALL SHARK
670,2011.07.22,22-Jul-11,2011,Unprovoked,SOUTH AFRICA,Surfing,Upper left arm & right leg bitten,N,10h00,White Shark,BIG SHARK
681,2011.06.28,28-Jun-11,2011,Unprovoked,SOUTH AFRICA,Other activities,Lacerations to left leg and hands,N,12h00,Dusky Shark,MIDDLE SHARK
682,2011.06.26,26-Jun-08,2011,Unprovoked,USA,Surfing,Ankle bitten,N,Afternoon,Bull Shark,SMALL SHARK
683,2011.06.24,24-Jun-11,2011,Unprovoked,USA,Surfing,Shark leapt onto surfboard; surfer uninjured ,N,13h30,White Shark,BIG SHARK
685,2011.06.19.b,19-Jun-11,2011,Unprovoked,TURKS & CAICOS,Other activities,Right calf bitten,N,,BIG SHARK,BIG SHARK
688,2011.06.14.R,Reported 14-Jun-2011,2011,Boat,UNITED KINGDOM,Other activities,"No injury, shark slammed into boat",N,,White Shark,BIG SHARK
