,Month,Year,Type,Country,Area,Activity,Sex,Injury,Fatal,original order
1844,Mar,2000,Invalid,NEW ZEALAND,North Island,Kayaking,M,Reported as shark attack but probable drowning ,,4149
1845,Mar,2000,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,Survived,N,4148
1846,Mar,2000,Unprovoked,USA,Louisiana,Spearfishing,M,"No injury to diver, speargun damaged",N,4147
1847,Feb,2000,Unprovoked,USA,Florida,,M,Right calf bitten,N,4146
1848,Feb,2000,Unprovoked,SOUTH AFRICA,Western Cape Province,Body surfing,M,Foot bitten,N,4145
1849,Feb,2000,Provoked,ENGLAND,Worcestershire,Feeding prawns to captive sharks,M,Fingers bitten PROVOKED INCIDENT,N,4144
1850,Feb,2000,Unprovoked,NEW ZEALAND,South Island,Surfing,M,"No injury, wetsuit punctured",N,4143
1851,Feb,2000,Unprovoked,AUSTRALIA,South Australia,Surfing,M,Hand bitten,N,4142
1852,Jan,2000,Boat,REUNION,,Canoe with 3 men onboard sank,M,FATAL,Y,4141
1853,Jan,2000,Unprovoked,THAILAND,Phang nga Province,Diving,M,FATAL,Y,4140
1855,Dec,1999,Unprovoked,NEW ZEALAND,South Island,Surfing,M,Six puncture wounds on  leg,N,4138
1856,Dec,1999,Unprovoked,NEW ZEALAND,South Island,Swimming,F,Arm bitten,N,4137
1857,Dec,1999,Unprovoked,NEW ZEALAND,South Island,Bathing,F,A cut on her hand,N,4136
1858,Dec,1999,Unprovoked,BRAZIL,Pernambuco,Surfing,M,"Leg bitten, surgically amputated",N,4135
1859,Dec,1999,Invalid,USA,California,Scuba diving,M,"Presumed taken by a shark,  but forensic evidence suggested otherwise.",Y,4134
1860,Dec,1999,Invalid,BRAZIL,Rio de Janeiro,Spearfishing,M,Lateral right thigh bitten,N,4133
1861,Dec,1999,Unprovoked,USA,Florida,Surfing,M,Right arm & fingers lacerated,N,4132
1862,Nov,1999,Unprovoked,USA,Florida,Surfing,M,Lacerations to hand & wrist,N,4131
1863,Nov,1999,Unprovoked,USA,Hawaii,Swimming,F,"Buttock bitten, hands lacerated",N,4130
1864,Nov,1999,Unprovoked,USA,California,Surfing (sitting on his board),M,"No injury, board bitten",N,4129
1865,Nov,1999,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,Lower legs lacerated,N,4128
1866,Nov,1999,Unprovoked,BRAZIL,Rio de Janeiro,"Spearfishing, but swimming at surface",M,Upper right thigh bitten,N,4127
1867,Nov,1999,Unprovoked,MARSHALL ISLANDS,Alinglaplap Atoll,Swimming,M,Lacerations to leg,N,4126
1868,Nov,1999,Unprovoked,MARSHALL ISLANDS,Alinglaplap Atoll,Swimming,M,Lacerations to buttocks,N,4125
1869,Oct,1999,Unprovoked,USA,Florida,Body boarding,M,Right foot lacerated,N,4124
1870,Oct,1999,Unprovoked,USA,Florida,Body surfing,M,"Shark bit 8"" chunk from swim fin",N,4123
1871,Oct,1999,Unprovoked,USA,Florida,Surfing,M,Lacerations to right hand & wrist,N,4122
1872,Oct,1999,Unprovoked,USA,Hawaii,"Surfing, lying on surfboard",M,Right arm bitten,N,4121
1873,Sep,1999,Unprovoked,USA,Florida,Wading to shore after surfing,M,3 one-inch lacerations to sole of right foot,N,4120
1875,Sep,1999,Unprovoked,USA,Florida,Wading,F,Thigh (posterior) bitten,N,4118
1876,Sep,1999,Unprovoked,USA,South Carolina,Wading,F,Toes lacerated,N,4117
1877,Sep,1999,Unprovoked,USA,Florida,Surfing,M,Right foot bitten,N,4116
1878,Sep,1999,Provoked,USA,Florida,Wading,M,Left knee nipped by captive shark PROVOKED INCIDENT,N,4115
1879,Sep,1999,Unprovoked,USA,Florida,Wading with surfboard,M,Right foot bitten,N,4114
1880,Aug,1999,Unprovoked,USA,Florida,Surfing,M,3-inch laceration to right foot,N,4113
1881,Aug,1999,Unprovoked,USA,North Carolina,Surfing,M,Foot injured,N,4112
1882,Aug,1999,Unprovoked,MARSHALL ISLANDS,Ralik Chain,Fishing,M,Lacerations to left leg,N,4111
1883,Aug,1999,Unprovoked,USA,Florida,Surfing,M,Small lacerations to right foot,N,4110
1884,Aug,1999,Unprovoked,USA,South Carolina,Lying prone in 2' of water,M,"Ear lacerated, cuts on scalp, back, arm & shoulder ",N,4109
1885,Aug,1999,Unprovoked,USA,Florida,Body surfing,M,Right ankle & heel  lacerated,N,4108
1886,Aug,1999,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing & holding catch,M,Right arm bitten,N,4107
1887,Jul,1999,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,Right thigh bitten,N,4106
1888,Jul,1999,Unprovoked,USA,Florida,Swimming with dolphins,M,Ankle bitten,N,4105
1889,Jul,1999,Unprovoked,USA,Hawaii,Surfing,M,Right thigh & buttock bitten,N,4104
1890,Jul,1999,Unprovoked,SOUTH AFRICA,Western Cape Province,Boogie boarding,M,FATAL,Y,4103
1891,Jul,1999,Unprovoked,USA,South Carolina,,M,Five cuts on his heel,N,4102
1892,Jul,1999,Unprovoked,USA,Florida,Wading in school of baitfish,F,Lacerations knee to ankle,N,4101
1893,Jul,1999,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Leg & board bitten,N,4100
1894,Jun,1999,Unprovoked,USA,Florida,Adrift in a life jacket,M,9-inch gash in left foot ,N,4099
1895,Jun,1999,Unprovoked,USA,Florida,Surfing,M,Right hand and wrist lacerated,N,4098
1896,Jun,1999,Unprovoked,USA,Florida,Swimming,M,8-inch bite on calf,N,4097
1897,Jun,1999,Unprovoked,USA,Florida,Splashing / wading,M,Knee lacerated,N,4096
1898,May,1999,Unprovoked,AUSTRALIA,South Australia,Windsurfing,M,"FATAL, body not recovered",Y,4095
1899,May,1999,Unprovoked,BRAZIL,Pernambuco,Surfing,M,Leg & hands bitten,N,4094
1900,Apr,1999,Unprovoked,MAURITIUS,Grand Baie,Swimming,F,Thigh bitten,N,4093
1901,Apr,1999,Unprovoked,REUNION,L' Etang Sal�-les-Bains,Swimming after being swept into sea by a large wave,M,FATAL,Y,4092
1902,Apr,1999,Unprovoked,USA,Florida,Surfing,M,Ankle bitten,N,4091
1903,Mar,1999,Unprovoked,NEW ZEALAND,South Island,Spearfishing & diving for paua,M,No injury,N,4090
1904,Mar,1999,Provoked,BRAZIL,Rio Grande de Norte,Scientific research (Dr. Sonny Gruber's student),M,Grabbed small shark & it bit him  PROVOKED INCIDENT,N,4089
1905,Mar,1999,Unprovoked,USA,Hawaii,"Swimming, towing a kayak",F,"FATAL, arm bitten ",Y,4088
1906,Mar,1999,Unprovoked,NEW CALEDONIA,Loyalty Islands,Spearfishing,M,Multiple injuries,N,4087
1907,Mar,1999,Provoked,NEW ZEALAND,,Fishing,M,Right thigh bitten PROVOKED INCIDENT,N,4086
1908,Mar,1999,Unprovoked,USA,Hawaii,Body surfing or body boarding,M,Bruised right leg,N,4085
1909,Mar,1999,Unprovoked,USA,Hawaii,Swimming near pod of whales,F,Tissue removed knee to thigh,N,4084
1911,Feb,1999,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"Left hand & forearm bitten, board bitten",N,4082
1912,Feb,1999,Unprovoked,USA,Florida,Surfing,M,Left hand bitten,N,4081
1913,Jan,1999,Unprovoked,MAURITIUS,,Spearfishing,M,Legs & torso injured,N,4080
1914,Jan,1999,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Paddle Skiing,M,"No Injury, ski bitten",N,4079
1916,Jan,1999,Invalid,AUSTRALIA,Northern Territory,Fishing,F,"Cut foot, but injury caused by fishing line, not the shark",N,4077
1920,Dec,1998,Provoked,USA,Florida,Surfing,M,Left foot bitten after he accidentally stepped on the shark         PROVOKED INCIDENT ,N,4073
1921,Dec,1998,Unprovoked,AUSTRALIA,South Australia,Standing,F,2 puncture wounds in left leg,N,4072
1922,Dec,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Leg bitten,N,4071
1923,Dec,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Splashing,M,Right leg bitten,N,4070
1924,Dec,1998,Unprovoked,AUSTRALIA,South Australia,Surfing,F,Leg injured,N,4069
1925,Nov,1998,Unprovoked,USA,Florida,Swimming,M,FATAL,Y,4068
1926,Nov,1998,Unprovoked,USA,Florida,Surfing,M,Right foot bitten,N,4067
1927,Nov,1998,Unprovoked,USA,Florida,Walking,M,Survived,N,4066
1928,Nov,1998,Unprovoked,USA,Oregon,Surfing,M,No injury,N,4065
1929,Nov,1998,Provoked,JAPAN,Southern Japan,Fishing for tuna,M,PROVOKED INCIDENT    Knee bitten by shark trapped in net,N,4064
1930,Nov,1998,Unprovoked,BRAZIL,Pernambuco,Surfing,M,"FATAL, left forearm severed  ",Y,4063
1931,Oct,1998,Unprovoked,USA,Florida,Swimming,F,Minor lacerations on right ankle & foot,N,4062
1932,Oct,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,"No injury, surfboard bitten",N,4061
1933,Oct,1998,Unprovoked,USA,Florida,Surfing,M,Right hand bitten,N,4060
1934,Oct,1998,Unprovoked,BRAZIL,Pernambuco,Surfing,M,Right leg bitten,N,4059
1936,Oct,1998,Unprovoked,USA,Florida,,M,2 one-inch lacerations in left foot,N,4057
1937,Sep,1998,Unprovoked,USA,Florida,Surfing,M,Puncture wounds to leg,N,4056
1938,Sep,1998,Unprovoked,USA,Florida,Surfing,M,Left arm lacerated,N,4055
1939,Sep,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Fishing / washing bait off hands,M,Laceration to right foot,N,4054
1940,Sep,1998,Unprovoked,USA,Florida,Surfing,M,Right foot bitten,N,4053
1941,Sep,1998,Provoked,SENEGAL,Cap Vert Peninsula,Spearfishing,M,Bitten by harpooned shark PROVOKED INCIDENT,N,4052
1942,Aug,1998,Unprovoked,USA,Florida,Surfing,M,Toes lacerated,N,4051
1944,Aug,1998,Unprovoked,USA,California,Boogie boarding,M,"Thigh, buttocks & lower back lacerated",N,4049
1945,Aug,1998,Unprovoked,USA,Virginia,Spearfishing,M,Lacerations to left hand,N,4048
1946,Aug,1998,Unprovoked,BAHAMAS,Berry Islands,Spearfishing,M,Calf bitten,N,4047
1947,Aug,1998,Unprovoked,USA,Florida,Body-boarding,M,Left calf injured,N,4046
1948,Aug,1998,Provoked,SOUTH AFRICA,Transvaal,Moving a shark in a net ,M,Lacerations to right shin  PROVOKED INCIDENT,N,4045
1949,Aug,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing (or body boarding),M,Legs bitten,N,4044
1950,Aug,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,Leg bitten,N,4043
1951,Jul,1998,Unprovoked,BRAZIL,Pernambuco,Surfing,M,Lacerations to left foot,N,4042
1952,Jul,1998,Unprovoked,USA,Florida,Surfing,M,Calf bitten,N,4041
1953,Jul,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Wading,M,Right leg bitten,N,4040
1954,Jul,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Knee bitten,N,4039
1955,Jul,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,Right leg bitten,N,4038
1956,Jun,1998,Unprovoked,AUSTRALIA,South Australia,Free diving for abalone,M,"FATAL, left thigh and lower leg severely injured  ",Y,4037
1957,Jun,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Body Boarding,M,"FATAL, hands & calf bitten  ",Y,4036
1958,Jun,1998,Unprovoked,USA,Florida,Surfing,M,"2-inch laceration on dorsum of foot, 1-inch laceration on sole.",N,4035
1959,Jun,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Survived,N,4034
1960,May,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Minor laceration on foot,N,4033
1961,May,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Body boarding,M,Right shoulder & arm bitten,N,4032
1962,May,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Body boarding,M,Leg bitten,N,4031
1963,May,1998,Unprovoked,USA,Florida,Surfing,M,4 lacerations on the sole of his right foot,N,4030
1964,May,1998,Unprovoked,USA,Florida,Swimming,F,Ankle & foot bitten,N,4029
1965,May,1998,Unprovoked,USA,Florida,Swimming / surfing,M,Left arm & wrist lacerated,N,4028
1966,May,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Body boarding,M,"Lower legs bitten, foot severed",N,4027
1967,Apr,1998,Unprovoked,MOZAMBIQUE,Gaza,Towing rubber dinghy,F,"FATAL, torso & abdomen bitten, forearm severed ",Y,4026
1968,Apr,1998,Unprovoked,USA,Oregon,Surfing (lying prone on his board),M,Right thigh bitten,N,4025
1969,Apr,1998,Provoked,USA,Florida,Scuba diving,M,"He grabbed shark's tail, shark bit his chest & held on.  PROVOKED INCIDENT",N,4024
1970,Apr,1998,Unprovoked,BRAZIL,Pernambuco,Swimming ,M,FATAL,Y,4023
1972,Mar,1998,Unprovoked,USA,Florida,Swimming,M,Heel lacerated,N,4021
1973,Mar,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Snorkeling � hunting crayfish and abalone,M,Lower leg lacerated,N,4020
1974,Mar,1998,Unprovoked,USA,Florida,Swimming or paddle boarding,M,6 puncture wounds to right calf,N,4019
1975,Feb,1998,Unprovoked,USA,Florida,Swimming,M,Hands bitten,N,4018
1976,Jan,1998,Invalid,AUSTRALIA,New South Wales,Spearfishing,M,"Missing, thought to have been taken by a shark",Y,4017
1977,Jan,1998,Unprovoked,NEW CALEDONIA,South Province,Windsurfing,M,"No injury, board bumped & fin damaged",N,4016
1978,Jan,1998,Unprovoked,REUNION,Grand'Anse,Bathing,M,FATAL,Y,4015
1979,Jan,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Calf & foot lacerated,N,4014
1980,Jan,1998,Unprovoked,AUSTRALIA,South Australia,Surfing,M,20 punctures in right foot,N,4013
1981,Jan,1998,Unprovoked,MOZAMBIQUE,Maputo Province,Surfing,M,Leg bitten,N,4012
1985,Dec,1997,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,FATAL,Y,4008
1986,Dec,1997,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Sitting on surfboard,M,Calf bitten,N,4007
1987,Dec,1997,Invalid,USA,Florida,,F,"Ankle bitten, but shark involvement unconfirmed",N,4006
1988,Dec,1997,Unprovoked,USA,Florida,Swimming,M,Left leg gashed knee to ankle,N,4005
1989,Nov,1997,Unprovoked,AUSTRALIA,Western Australia,Scuba diving (submerged riding a scooter),M,Left arm lacerated when shark grabbed scooter,N,4004
1990,Nov,1997,Unprovoked,USA,Florida,Swimming,M,Thigh bitten,N,4003
1991,Nov,1997,Invalid,AUSTRALIA,New South Wales,Unknown,M,5 m white shark obsrved feeding on remains 6 days later,Y,4002
1992,Oct,1997,Unprovoked,AUSTRALIA,Western Australia,Surf-skiing,M,"Sierakowski suffered a minor facial injury, ski bitten in half by shark",N,4001
1993,Oct,1997,Unprovoked,USA,Hawaii,Body boarding or surfing,M,"Both legs bitten, right leg severed at mid-calf & defense wounds on right hand",N,4000
1994,Oct,1997,Unprovoked,USA,Florida,Surfing,M,"5"" gash in foot",N,3999
1995,Oct,1997,Unprovoked,USA,Florida,Surfing,M,Left foot bitten,N,3998
1997,Oct,1997,Unprovoked,USA,Florida,Swimming,F,Laceration & 3 puncture wounds to anterior right thigh,N,3996
1998,Sep,1997,Unprovoked,BRAZIL,Pernambuco,Swimming,M,FATAL,Y,3995
1999,Sep,1997,Unprovoked,USA,Florida,Surfing,M,Laceration to right foot,N,3994
2001,Sep,1997,Unprovoked,USA,Florida,Surfing,M,Lacerations to lower left leg,N,3992
2002,Aug,1997,Unprovoked,USA,Florida,Surfing,M,Lacerations on right ankle & heel,N,3991
2003,Aug,1997,Unprovoked,USA,Florida,Walking / surfing,M,"2"" laceration on left heel",N,3990
2004,Aug,1997,Unprovoked,USA,California,Surfing (sitting on his board),M,Leg & hand bitten,N,3989
2005,Aug,1997,Invalid,MEXICO,Quintana Roo,SCUBA diving,M,FATAL,Y,3988
2006,Aug,1997,Unprovoked,MEXICO,Quintana Roo,SCUBA diving,M,"FATAL, arm & leg severed ",Y,3987
2007,Aug,1997,Unprovoked,USA,Florida,Floating on raft,F,Small lacerations on right lower leg,N,3986
2008,Aug,1997,Unprovoked,EGYPT,Red Sea,Fishing,M,Seriously injured,N,3985
2009,Aug,1997,Unprovoked,EGYPT,Red Sea,Fishing,M,FATAL,Y,3984
2010,Aug,1997,Unprovoked,USA,Florida,Boogie boarding,M,Lacerations to foot,N,3983
2011,Aug,1997,Unprovoked,USA,Florida,Surfing,M,Lacerations to right foot,N,3982
2012,Aug,1997,Unprovoked,USA,Texas,Wading,F,Wrist & am bitten,N,3981
2013,Aug,1997,Unprovoked,USA,Florida,Wade-fishing,M,Left forearm & wrist bitten,N,3980
2014,Aug,1997,Unprovoked,USA,Florida,Body surfing,M,Top of left foot bitten,N,3979
2015,Aug,1997,Unprovoked,USA,Florida,Wading / Surfing,M,Top of left foot bitten,N,3978
2016,Jul,1997,Unprovoked,AUSTRALIA,Queensland,Surfing,M,Leg lacerated,N,3977
2017,Jul,1997,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,FATAL,Y,3976
2018,Jul,1997,Unprovoked,BRAZIL,Pernambuco,Surfing,M,Survived,N,3975
2019,Jul,1997,Unprovoked,USA,South Carolina,Standing,M,Left calf bitten,N,3974
2020,Jul,1997,Unprovoked,OKINAWA,Miyako,Fishing for octopus,M,"FATAL, legs severed  ",Y,3973
2022,Jun,1997,Unprovoked,USA,Hawaii,Spearfishing / night diving,M,Leg bitten just above ankle,N,3971
2023,Jun,1997,Unprovoked,FIJI,Taveuni,Snorkeling,F,"Bitten on inner thigh, leg surgically amputated",N,3970
2024,Jun,1997,Unprovoked,USA,Florida,Surfing,M,Laceration to left upper arm,N,3969
2025,Jun,1997,Unprovoked,BRAZIL,Rio de Janeiro,Bathing,M,,UNKNOWN,3968
2026,Jun,1997,Unprovoked,USA,Florida,"Body surfing, stood up on sandbar",M,4 lacerations above left ankle,N,3967
2027,May,1997,Unprovoked,USA,Florida,Spearfishing,M,Right thigh punctured,N,3966
2028,May,1997,Unprovoked,USA,Florida,Surfing,M,Left elbow bitten,N,3965
2029,May,1997,Unprovoked,USA,Florida,Surfing,M,Left ankle bitten,N,3964
2030,May,1997,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,Right arm bitten,N,3963
2031,May,1997,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,Leg bitten,N,3962
2032,Apr,1997,Unprovoked,BRAZIL,Rio de Janeiro,Windsurfing,M,Lower left leg & ankle bitten,N,3961
2033,Feb,1997,Unprovoked,AUSTRALIA,Queensland,Swimming,F,Left leg biten,N,3960
2034,Feb,1997,Unprovoked,AUSTRALIA,Queensland,Scuba diving,M,Left arm bitten,N,3959
2035,Feb,1997,Unprovoked,USA,Hawaii,,M,No details,UNKNOWN,3958
2036,Feb,1997,Unprovoked,REUNION,L'Etang-Sale,,M,Hand injured,N,3957
2037,Feb,1997,Boat,AUSTRALIA,New South Wales,Rowing ,F,"Bruised, when shark struck scull & catapulted her into the water",N,3956
2038,Jan,1997,Unprovoked,AUSTRALIA,Queensland,Snorkeling,M,"Left leg lacerated, punctures to right leg",N,3955
2039,Jan,1997,Unprovoked,AUSTRALIA,Western Australia,Windsurfing,M,"Presumed fatal, no body recovered, shark mutilated wetsuit & harness recovered ",Y,3954
2040,Jan,1997,Unprovoked,REUNION,,Spearfishing,M,FATAL,Y,3953
2042,Dec,1996,Unprovoked,AUSTRALIA,Queensland,Surfing,M,,UNKNOWN,3951
2043,Dec,1996,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Elbow bitten,N,3950
2044,Dec,1996,Unprovoked,NEW CALEDONIA,,Spearfishing,M,"Presumed fatal, only his shark-bitten speargun recovered",Y,3949
2045,Dec,1996,Unprovoked,NEW CALEDONIA,South Province,Attempting to attract dolphins,F,Hand bitten,N,3948
2046,Nov,1996,Unprovoked,USA,California,Surfing,M,Single laceration on ankle & board bitten,N,3947
2047,Nov,1996,Unprovoked,USA,Florida,Surfing,M,Right foot bitten,N,3946
2049,Oct,1996,Unprovoked,BRAZIL,Pernambuco,Surfing,M,Survived,N,3944
2050,Oct,1996,Unprovoked,OKINAWA,Miyako Island,Swimming or snorkeling,M,FATAL,Y,3943
2051,Oct,1996,Unprovoked,USA,California,Surfing,M,Lower leg bitten,N,3942
2052,Oct,1996,Unprovoked,USA,Florida,Surfing,M,"4"" laceration on left forearm",N,3941
2053,Oct,1996,Unprovoked,USA,California,Surfing,M,"No Injury, shark struck his board",N,3940
2055,Sep,1996,Unprovoked,USA,Florida,Swimming,M,4 or 5 lacerations on left ankle,N,3938
2056,Sep,1996,Unprovoked,NEW ZEALAND,Chatham Islands ,Diving for abalone,M,"Back, arms & wrist severely lacerated",N,3937
2057,Sep,1996,Unprovoked,USA,Florida,Surfing / Swimming,M,Small puncture wounds and lacerations on right leg just below knee,N,3936
2058,Sep,1996,Unprovoked,USA,Florida,Standing,M,Right foot bitten,N,3935
2059,Sep,1996,Unprovoked,USA,Florida,Sitting on surfboard,M,Small lacerations on left foot,N,3934
2060,Sep,1996,Invalid,USA,South Carolina,Boogie boarding,F,Minor injuries to foot,N,3933
2061,Sep,1996,Provoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,No injury  PROVOKED INCIDENT,N,3932
2062,Aug,1996,Unprovoked,USA,Hawaii,Body Boarding,M,Right calf bitten,N,3931
2063,Aug,1996,Unprovoked,USA,California,Free diving for abalone,M,"Left shoulder, forearm, hand & abdomen lacerated",N,3930
2064,Aug,1996,Unprovoked,USA,Florida,Wade fishing,M,"No injury, towed by shark that grabbed stringer of fish tied to his waist",N,3929
2065,Jul,1996,Unprovoked,USA,Florida,Standing,F,Survived,N,3928
2066,Jul,1996,Unprovoked,OKINAWA,Miyako,Swimming,M,"FATAL, torso & abdomen bitten,  forearm severedL",Y,3927
2067,Jul,1996,Unprovoked,EGYPT / ISRAEL,"South Sinai, Gulf of Aqaba",Free diving with a pod of dolphins,M,"Bitten on back, shoulder & chest",N,3926
2068,Jul,1996,Unprovoked,USA,Massachusetts,Swimming,M,Lacerations to left leg & right foot ,N,3925
2069,Jul,1996,Unprovoked,USA,Florida,Swimming,M,Laceration to right arm,N,3924
2071,Jul,1996,Unprovoked,USA,Florida,,M,Right foot bitten,N,3922
2072,Jul,1996,Unprovoked,USA,Florida,Standing,F,Laceration on left foot,N,3921
2073,Jul,1996,Unprovoked,BAHAMAS,Cat Cay,Diving,M,Left leg lacerated,N,3920
2074,Jun,1996,Unprovoked,USA,South Carolina,Body surfing,F,"Lacerations to left shin, heel & foot",N,3919
2075,Jun,1996,Unprovoked,AUSTRALIA,Victoria,Surfing,M,"No injury, board bitten",N,3918
2076,Jun,1996,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,Survived,N,3917
2077,May,1996,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,Leg bitten,N,3916
2078,May,1996,Invalid,AUSTRALIA,New South Wales,Tech diving ,M,"FATAL, but shark involvement prior to death was not confirmed",Y,3915
2079,May,1996,Unprovoked,USA,Florida,Surfing,M,Right foot & ankle bitten,N,3914
2080,May,1996,Unprovoked,SOUTH KOREA,,Shell Diving,M,FATAL,Y,3913
2081,May,1996,Unprovoked,USA,Florida,Surfing,M,Left foot & leg bitten,N,3912
2082,Apr,1996,Unprovoked,USA,Hawaii,,M,No details,UNKNOWN,3911
2083,Apr,1996,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,Puncture wounds on upper left thigh ,N,3910
2084,Apr,1996,Unprovoked,AUSTRALIA,New South Wales,Swimming,F,Puncture wounds on leg ,N,3909
2085,Apr,1996,Unprovoked,BRAZIL,Pernambuco,Swimming,M,FATAL,Y,3908
2086,Mar,1996,Unprovoked,AUSTRALIA,Queensland,Swimming breast stoke,F,Left arm & leg lacerated,N,3907
2087,Mar,1996,Unprovoked,AUSTRALIA,New South Wales,Fishing in knee-deep water,M,Left calf bitten,N,3906
2088,Feb,1996,Unprovoked,AUSTRALIA,New South Wales,Dived naked into the water on a bet,M,Left leg & right testicle bitten,N,3905
2089,Feb,1996,Provoked,USA,Missouri,Swimming in fish tank,F,5 punctures to hand from captive shark PROVOKED INCIDENT,N,3904
2090,Feb,1996,Unprovoked,PAPUA NEW GUINEA,Madang Province,,M,FATAL,Y,3903
2094,Feb,1996,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,Ankles injured,N,3899
2095,Jan,1996,Provoked,USA,Florida,Wading,M,Shark bit his leg after he grabbed its tail & wouldn't let go PROVOKED INCIDENT,N,3898
2096,Jan,1996,Unprovoked,AUSTRALIA,Queensland,Swimming,F,Lacerations to left calf,N,3897
2097,Jan,1996,Unprovoked,USA,Hawaii,Swimming with mask & snorkel,M,Lacerations to left foot & right shin,N,3896
2100,Jan,1996,Unprovoked,REUNION,Saint-Paul ,Surfing,M,FATAL,Y,3893
2103,Dec,1995,Unprovoked,USA,Hawaii,,M,No details,UNKNOWN,3890
2104,Nov,1995,Unprovoked,NEW ZEALAND,"Chatham Islands, east of New  Zealand","Diving, gathering shellfish",M,Leg & chest lacerated,N,3889
2105,Nov,1995,Invalid,USA,Hawaii,,M,Minor injury,N,3888
2106,Nov,1995,Unprovoked,NORTHERN ARABIAN SEA,,Fell off aircraft carrier,M,"Minor injuries, bites on fingers & toes. Rescued by Pakistani fishermen",N,3887
2107,Nov,1995,Unprovoked,AUSTRALIA,Queensland,,M,Survived,N,3886
2108,Oct,1995,Unprovoked,USA,Florida,Boogie boarding,M,Lacerations to right foot,N,3885
2109,Oct,1995,Unprovoked,USA,Florida,Surfing,M,Foot bitten,N,3884
2110,Oct,1995,Unprovoked,AUSTRALIA,Queensland,Playing / standing,F,Laceration to thigh,N,3883
2111,Oct,1995,Unprovoked,USA,Florida,Surfing,M,Right arm injured,N,3882
2112,Sep,1995,Unprovoked,USA,Florida,Surfing,M,4 punctures in left foot,N,3881
2113,Sep,1995,Unprovoked,USA,Florida,Surfing,M,Leg & ankle bitten,N,3880
2114,Sep,1995,Unprovoked,USA,California,Windsurfing,M,"Right foot bruised, board bitten",N,3879
2115,Sep,1995,Unprovoked,USA,Florida,Surfing,M,Left arm & hand lacerated,N,3878
2116,Sep,1995,Unprovoked,USA,Florida,Swimming,F,Left elbow and bicep bitten,N,3877
2117,Sep,1995,Unprovoked,REUNION,Saint-Denis,Body-boarding,M,FATAL,Y,3876
2118,Sep,1995,Unprovoked,USA,Florida,Scuba diving,M,"Presumed FATAL, body not recovered",Y,3875
2119,Sep,1995,Unprovoked,AUSTRALIA,Western Australia,Abalone diving using Hookah (near calving whales),M,"FATAL, head, shoulder and arm severed, remains recovered at Munglinup Beach on 9/13/1995",Y,3874
2120,Sep,1995,Unprovoked,USA,California,Abalone diving using Hookah (resting on the surface),M,Lower leg bitten,N,3873
2121,Sep,1995,Invalid,USA,North Carolina,Swimming,M,Laceration to lower leg,N,3872
2122,Aug,1995,Unprovoked,USA,Florida,Surfing,M,Left hand & forearm bitten,N,3871
2123,Aug,1995,Unprovoked,USA,South Carolina,On a float,M,Puncture wounds on ankle & leg,N,3870
2124,Aug,1995,Unprovoked,BRAZIL,Pernambuco,Surfing,M,Survived,N,3869
2125,Aug,1995,Unprovoked,USA,Florida,Surfing,M,Left elbow bitten,N,3868
2126,Aug,1995,Unprovoked,USA,Florida,Surfing,M,4 puncture wounds on right pinky finger,N,3867
2127,Aug,1995,Unprovoked,USA,North Carolina,Swimming,M,Left arm bitten,N,3866
